Wavelength	Intensity	
W	I	
nm	rel	

380.50	0.017	
381.30	0.017	
382.20	0.017	
383.10	0.017	
384.00	0.017	
384.90	0.017	
385.80	0.017	
386.70	0.017	
387.60	0.016	
388.50	0.017	
389.40	0.017	
390.20	0.017	
391.10	0.017	
392.00	0.017	
392.90	0.017	
393.80	0.017	
394.70	0.017	
395.60	0.017	
396.50	0.017	
397.40	0.017	
398.30	0.017	
399.10	0.017	
400.00	0.017	
400.90	0.017	
401.80	0.018	
402.70	0.017	
403.60	0.018	
404.50	0.018	
405.40	0.018	
406.30	0.018	
407.20	0.018	
408.00	0.018	
408.90	0.018	
409.80	0.018	
410.70	0.018	
411.60	0.018	
412.50	0.018	
413.40	0.018	
414.30	0.019	
415.20	0.019	
416.00	0.019	
416.90	0.019	
417.80	0.019	
418.70	0.020	
419.60	0.020	
420.50	0.020	
421.40	0.020	
422.30	0.020	
423.20	0.021	
424.10	0.021	
424.90	0.021	
425.80	0.021	
426.70	0.021	
427.60	0.022	
428.50	0.022	
429.40	0.022	
430.30	0.022	
431.20	0.022	
432.10	0.022	
433.00	0.023	
433.80	0.023	
434.70	0.023	
435.60	0.023	
436.50	0.024	
437.40	0.024	
438.30	0.024	
439.20	0.024	
440.10	0.024	
441.00	0.024	
441.90	0.024	
442.70	0.024	
443.60	0.025	
444.50	0.025	
445.40	0.025	
446.30	0.025	
447.20	0.025	
448.10	0.026	
449.00	0.026	
449.90	0.026	
450.80	0.026	
451.60	0.025	
452.50	0.025	
453.40	0.026	
454.30	0.025	
455.20	0.025	
456.10	0.025	
457.00	0.025	
457.90	0.025	
458.80	0.025	
459.60	0.025	
460.50	0.025	
461.40	0.025	
462.30	0.025	
463.20	0.025	
464.10	0.024	
465.00	0.024	
465.90	0.024	
466.80	0.024	
467.70	0.024	
468.50	0.024	
469.40	0.024	
470.30	0.024	
471.20	0.024	
472.10	0.024	
473.00	0.024	
473.90	0.024	
474.80	0.024	
475.70	0.024	
476.60	0.024	
477.40	0.024	
478.30	0.024	
479.20	0.024	
480.10	0.024	
481.00	0.024	
481.90	0.024	
482.80	0.024	
483.70	0.024	
484.60	0.023	
485.50	0.023	
486.30	0.023	
487.20	0.023	
488.10	0.023	
489.00	0.023	
489.90	0.023	
490.80	0.023	
491.70	0.023	
492.60	0.023	
493.50	0.023	
494.40	0.023	
495.20	0.023	
496.10	0.023	
497.00	0.024	
497.90	0.024	
498.80	0.024	
499.70	0.024	
500.60	0.024	
501.50	0.024	
502.40	0.024	
503.20	0.025	
504.10	0.025	
505.00	0.025	
505.90	0.025	
506.80	0.025	
507.70	0.025	
508.60	0.026	
509.50	0.026	
510.40	0.026	
511.30	0.026	
512.20	0.026	
513.00	0.027	
513.80	0.027	
514.60	0.027	
515.50	0.027	
516.30	0.027	
517.10	0.028	
517.90	0.028	
518.80	0.028	
519.60	0.028	
520.40	0.028	
521.20	0.028	
522.10	0.028	
522.90	0.028	
523.70	0.028	
524.50	0.028	
525.40	0.029	
526.20	0.029	
527.00	0.029	
527.80	0.029	
528.70	0.029	
529.50	0.029	
530.30	0.029	
531.10	0.029	
532.00	0.029	
532.80	0.029	
533.60	0.028	
534.50	0.028	
535.30	0.028	
536.10	0.028	
536.90	0.028	
537.80	0.028	
538.60	0.028	
539.40	0.028	
540.20	0.027	
541.10	0.027	
541.90	0.027	
542.70	0.027	
543.50	0.027	
544.40	0.027	
545.20	0.027	
546.00	0.027	
546.80	0.027	
547.70	0.027	
548.50	0.027	
549.30	0.027	
550.10	0.027	
551.00	0.027	
551.80	0.027	
552.60	0.027	
553.50	0.027	
554.30	0.027	
555.10	0.027	
555.90	0.027	
556.80	0.027	
557.60	0.028	
558.40	0.028	
559.20	0.028	
560.10	0.028	
560.90	0.029	
561.70	0.029	
562.50	0.029	
563.40	0.029	
564.20	0.029	
565.00	0.029	
565.80	0.029	
566.70	0.029	
567.50	0.029	
568.30	0.029	
569.10	0.029	
570.00	0.029	
570.80	0.029	
571.60	0.029	
572.40	0.029	
573.30	0.028	
574.10	0.028	
574.90	0.028	
575.80	0.028	
576.60	0.028	
577.40	0.028	
578.20	0.028	
579.10	0.028	
579.90	0.028	
580.70	0.027	
581.50	0.027	
582.40	0.027	
583.20	0.027	
584.00	0.026	
584.80	0.026	
585.70	0.026	
586.50	0.026	
587.30	0.026	
588.10	0.026	
588.90	0.026	
589.60	0.026	
590.40	0.026	
591.10	0.025	
591.90	0.025	
592.60	0.025	
593.40	0.025	
594.10	0.025	
594.90	0.025	
595.60	0.025	
596.40	0.025	
597.10	0.025	
597.90	0.024	
598.60	0.024	
599.40	0.024	
600.10	0.024	
600.90	0.024	
601.60	0.024	
602.40	0.024	
603.10	0.024	
603.90	0.024	
604.60	0.024	
605.40	0.024	
606.10	0.023	
606.90	0.023	
607.70	0.023	
608.40	0.023	
609.20	0.023	
609.90	0.023	
610.70	0.023	
611.40	0.023	
612.20	0.023	
612.90	0.023	
613.70	0.023	
614.40	0.023	
615.20	0.023	
615.90	0.023	
616.70	0.023	
617.40	0.023	
618.20	0.023	
618.90	0.023	
619.70	0.022	
620.40	0.022	
621.20	0.022	
621.90	0.022	
622.70	0.022	
623.40	0.022	
624.20	0.022	
624.90	0.022	
625.70	0.022	
626.40	0.022	
627.20	0.022	
627.90	0.022	
628.70	0.022	
629.40	0.022	
630.20	0.022	
630.90	0.022	
631.70	0.022	
632.40	0.022	
633.20	0.022	
633.90	0.022	
634.70	0.022	
635.40	0.022	
636.20	0.022	
636.90	0.022	
637.70	0.022	
638.40	0.022	
639.20	0.022	
639.90	0.021	
640.70	0.021	
641.40	0.021	
642.20	0.021	
642.90	0.021	
643.70	0.021	
644.50	0.021	
645.20	0.021	
646.00	0.021	
646.70	0.021	
647.50	0.020	
648.20	0.021	
649.00	0.020	
649.70	0.020	
650.50	0.020	
651.20	0.020	
652.00	0.020	
652.70	0.020	
653.50	0.020	
654.20	0.020	
655.00	0.019	
655.70	0.019	
656.50	0.019	
657.20	0.019	
658.00	0.019	
658.70	0.019	
659.50	0.019	
660.20	0.019	
661.00	0.019	
661.70	0.019	
662.50	0.019	
663.20	0.019	
664.00	0.019	
664.70	0.019	
665.50	0.019	
666.20	0.019	
667.00	0.018	
667.80	0.018	
668.50	0.019	
669.30	0.018	
670.00	0.018	
670.80	0.018	
671.60	0.018	
672.30	0.018	
673.10	0.018	
673.90	0.018	
674.60	0.018	
675.40	0.018	
676.20	0.018	
676.90	0.018	
677.70	0.018	
678.50	0.018	
679.20	0.018	
680.00	0.018	
680.70	0.018	
681.50	0.018	
682.30	0.018	
683.00	0.018	
683.80	0.018	
684.60	0.018	
685.30	0.018	
686.10	0.018	
686.90	0.018	
687.60	0.018	
688.40	0.018	
689.20	0.018	
689.90	0.018	
690.70	0.018	
691.50	0.018	
692.20	0.018	
693.00	0.018	
693.70	0.018	
694.50	0.018	
695.30	0.018	
696.00	0.018	
696.80	0.018	
697.60	0.018	
698.30	0.018	
699.10	0.018	
699.90	0.018	
700.60	0.018	
701.40	0.018	
702.20	0.018	
702.90	0.018	
703.70	0.018	
704.50	0.018	
705.20	0.018	
706.00	0.018	
706.80	0.018	
707.50	0.018	
708.30	0.018	
709.10	0.018	
709.90	0.018	
710.70	0.018	
711.50	0.018	
712.20	0.018	
713.00	0.018	
713.80	0.018	
714.60	0.017	
715.40	0.017	
716.20	0.017	
716.90	0.017	
717.70	0.017	
718.50	0.017	
719.30	0.017	
720.10	0.017	
720.90	0.017	
721.60	0.017	
722.40	0.017	
723.20	0.017	
724.00	0.017	
724.80	0.017	
725.60	0.017	
726.30	0.017	
727.10	0.017	
727.90	0.017	
728.70	0.017	
729.50	0.017	
730.30	0.017	
731.00	0.017	
731.80	0.017	
732.60	0.016	
733.40	0.016	
734.20	0.016	
735.00	0.016	
735.70	0.016	
736.50	0.016	
737.30	0.016	
738.10	0.016	
738.90	0.016	
739.70	0.016	
740.40	0.016	
741.20	0.017	
742.00	0.017	
742.80	0.017	
743.60	0.017	
744.40	0.017	
745.10	0.017	
745.90	0.017	
746.70	0.017	
747.50	0.017	
748.30	0.017	
749.10	0.016	
749.80	0.016	
750.60	0.016	
751.40	0.016	
752.20	0.016	
753.00	0.016	
753.80	0.016	
754.50	0.016	
755.30	0.016	
756.10	0.016	
756.90	0.016	
757.70	0.016	
758.50	0.016	
759.30	0.016	
760.00	0.016	
760.80	0.016	
761.60	0.016	
762.40	0.016	
763.20	0.017	
764.00	0.017	
764.70	0.016	
765.50	0.016	
766.30	0.017	
767.10	0.017	
767.90	0.016	
768.70	0.016	
769.40	0.016	
770.20	0.016	
771.00	0.016	
771.80	0.016	
772.60	0.016	
773.40	0.016	
774.10	0.016	
774.90	0.016	
775.70	0.016	
776.50	0.016	
777.30	0.016	
778.10	0.016	
778.80	0.016	
779.60	0.016	
780.40	0.016	
781.20	0.016	
782.00	0.016	
782.80	0.016	
783.50	0.016	
784.30	0.016	
785.10	0.015	
785.90	0.015	
786.70	0.016	
787.50	0.016	
788.20	0.016	
789.00	0.016	
789.80	0.016	
790.60	0.016	
791.40	0.016	
792.20	0.016	
792.90	0.016	
793.70	0.016	
794.50	0.016	
795.30	0.016	
796.10	0.016	
796.90	0.016	
797.60	0.016	
798.40	0.016	
799.20	0.016	
800.00	0.016	
800.80	0.016	
801.60	0.015	
802.30	0.015	
803.10	0.015	
803.90	0.016	
804.70	0.015	
805.50	0.015	
806.30	0.016	
807.10	0.016	
807.80	0.016	
808.60	0.016	
809.40	0.016	
810.20	0.016	
811.00	0.016	
811.80	0.016	
812.50	0.015	
813.30	0.015	
814.10	0.015	
814.90	0.015	
815.70	0.015	
816.50	0.015	
817.20	0.015	
818.00	0.016	
818.80	0.015	
819.60	0.016	
820.40	0.016	
821.20	0.016	
821.90	0.016	
822.70	0.016	
823.50	0.016	
824.30	0.016	
825.10	0.016	
825.90	0.016	
826.60	0.016	
827.40	0.016	
828.20	0.016	
829.00	0.015	
829.80	0.015	
830.60	0.016	
831.30	0.016	
832.20	0.016	
833.00	0.016	
833.80	0.016	
834.60	0.016	
835.50	0.016	
836.30	0.016	
837.10	0.016	
838.00	0.016	
838.80	0.016	
839.60	0.016	
840.50	0.016	
841.30	0.016	
842.10	0.016	
842.90	0.016	
843.80	0.016	
844.60	0.016	
845.40	0.016	
846.30	0.016	
847.10	0.015	
847.90	0.015	
848.80	0.016	
849.60	0.016	
850.40	0.016	
851.30	0.016	
852.10	0.016	
852.90	0.016	
853.70	0.016	
854.60	0.016	
855.40	0.016	
856.20	0.016	
857.10	0.016	
857.90	0.015	
858.70	0.015	
859.60	0.015	
860.40	0.015	
861.20	0.015	
862.10	0.015	
862.90	0.015	
863.70	0.015	
864.50	0.015	
865.40	0.015	
866.20	0.016	
867.00	0.016	
867.90	0.016	
868.70	0.015	
869.50	0.015	
870.40	0.016	
871.20	0.015	
872.00	0.015	
872.80	0.015	
873.70	0.015	
874.50	0.015	
875.30	0.015	
876.20	0.015	
877.00	0.015	
877.80	0.015	
878.70	0.015	
879.50	0.016	
880.30	0.015	
881.20	0.016	
882.00	0.016	
882.80	0.016	
883.60	0.016	
884.50	0.016	
885.30	0.016	
886.10	0.016	
887.00	0.016	
887.80	0.016	
888.60	0.016	
889.50	0.016	
890.30	0.016	
891.10	0.016	
892.00	0.016	
892.80	0.015	
893.60	0.016	
894.40	0.016	
895.30	0.016	
896.10	0.015	
896.90	0.016	
897.80	0.016	
898.60	0.016	
899.40	0.016	
900.30	0.015	
901.10	0.016	
901.90	0.016	
902.80	0.016	
903.60	0.016	
904.40	0.016	
905.20	0.016	
906.10	0.016	
906.90	0.016	
907.70	0.016	
908.60	0.016	
909.40	0.016	
910.20	0.016	
911.10	0.016	
911.90	0.016	
912.70	0.016	
913.50	0.016	
914.40	0.016	
915.20	0.016	
916.00	0.016	
916.90	0.016	
917.70	0.015	
918.50	0.015	
919.40	0.016	
920.20	0.015	
921.00	0.016	
921.90	0.015	
922.70	0.015	
923.50	0.015	
924.30	0.015	
925.20	0.015	
926.00	0.015	
926.80	0.015	
927.70	0.015	
928.50	0.015	
929.30	0.015	
930.20	0.016	
931.00	0.016	
931.80	0.016	
932.70	0.016	
933.50	0.016	
934.30	0.016	
935.10	0.016	
936.00	0.015	
936.80	0.016	
937.60	0.016	
938.50	0.015	
939.30	0.015	
940.20	0.015	
941.00	0.016	
941.80	0.016	
942.60	0.016	
943.50	0.015	
944.30	0.015	
945.10	0.016	
